iBike,13,metric
2017,1,17,8,2,58
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,977.665053,0.711703,12.102514,1.000000,0.000000,311.139840,2096.0,14.85,1013.25,-8,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",2:06:23,59.82,934.7,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
12.8748,12.9765,80.0715,0.0036,58,109,524.256,1,20.5556,1,,0,0,0,2017-01-17T01:32:58Z,0,0.3063,1.1289
0,18.3518,0,0.0036,0.001,0,524.5608,1,20.5556,,,0,0,0,2017-01-17T01:32:59Z,1,0.3063,1.1289
12.8748,15.8929,94.7641,0.0072,58,113,524.256,1.7,20.5556,,,0,0,0,2017-01-17T01:33:08Z,2,0.3063,1.1289
13.0357,17.5702,0,0.0108,0,114,524.256,1.8,20.5556,,,0,0,0,2017-01-17T01:33:09Z,3,0.3063,1.1289
13.1966,16.7526,0,0.0144,0,114,524.5608,2.2,20.5556,,,0,0,0,2017-01-17T01:33:10Z,4,0.3063,1.1289
13.3576,18.3518,0,0.0181,0,114,525.1704,2.5,20.5556,,,0,0,0,2017-01-17T01:33:11Z,5,0.3063,1.1289
13.6794,16.7529,113.3945,0.0219,60,114,525.1704,2.8,20.5556,,,0,0,0,2017-01-17T01:33:12Z,6,0.3063,1.1289
13.3576,16.7532,121.7176,0.0257,59,114,525.1704,3.3,20.5556,,,0,0,0,2017-01-17T01:33:13Z,7,0.3063,1.1288
13.1966,16.7535,112.1071,0.0293,58,115,525.1704,3.5,20.5556,,,0,0,0,2017-01-17T01:33:14Z,8,0.3063,1.1288
12.8748,17.5715,126.6298,0.0329,58,115,525.1704,4.1,20.5556,,,0,0,0,2017-01-17T01:33:15Z,9,0.3063,1.1287
12.7138,5.2979,98.4786,0.0364,56,115,525.1704,4.2,20.5556,,,0,0,0,2017-01-17T01:33:16Z,10,0.3063,1.1288
