iBike,13,metric
2016,12,28,7,11,54
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,884.171146,0.711703,12.102514,1.000000,0.000000,284.256480,2096.0,14.85,1013.25,-8,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",1:53:46,51.68,845.3,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
14.9669,21.1612,149.2247,0.0042,69,127,532.7904,0.6,19.4444,1,,0,0,0,2016-12-28T00:41:54Z,0,0.3063,1.132
17.3809,19.7949,169.6044,0.009,69,127,532.7904,0.6,19.4444,,,0,0,0,2016-12-28T00:41:55Z,1,0.3063,1.132
17.22,20.49,169.8613,0.0138,68,128,532.7904,1.1,19.4444,,,0,0,0,2016-12-28T00:41:56Z,2,0.3063,1.1319
17.059,19.7956,166.4636,0.0185,67,128,533.0952,2,19.4444,,,0,0,0,2016-12-28T00:41:57Z,3,0.3063,1.1319
16.7372,19.7959,180.5379,0.0232,66,128,533.4,3.4,19.4444,,,0,0,0,2016-12-28T00:41:58Z,4,0.3063,1.1319
16.2544,17.5472,0,0.0277,63,128,533.4,3.9,19.4444,,,0,0,0,2016-12-28T00:41:59Z,5,0.3063,1.1319
15.9325,18.3275,122.5919,0.0321,63,128,533.4,3.9,19.4444,,,0,0,0,2016-12-28T00:42:00Z,6,0.3063,1.1319
15.9325,19.0762,114.4501,0.0365,65,128,533.4,3.3,19.4444,,,0,0,0,2016-12-28T00:42:01Z,7,0.3063,1.1318
16.2544,19.0762,100.0437,0.041,65,127,533.4,2.3,19.4444,,,0,0,0,2016-12-28T00:42:02Z,8,0.3063,1.1318
16.5762,19.7963,90.1442,0.0456,66,127,533.7048,1.8,19.4444,,,0,0,0,2016-12-28T00:42:03Z,9,0.3063,1.1318
16.7372,19.0762,89.2433,0.0503,67,127,533.7048,1.4,19.4444,,,0,0,0,2016-12-28T00:42:04Z,10,0.3063,1.1318
16.8981,19.7967,119.7035,0.055,68,128,533.7048,1.3,19.4444,,,0,0,0,2016-12-28T00:42:05Z,11,0.3063,1.1318
17.3809,20.4919,110.6663,0.0598,69,127,534.0096,1.4,19.4444,,,0,0,0,2016-12-28T00:42:06Z,12,0.3063,1.1317
17.22,18.3285,89.9902,0.0646,67,128,534.0096,1.8,19.4444,,,0,0,0,2016-12-28T00:42:07Z,13,0.3063,1.1317
16.8981,19.797,126.6558,0.0693,67,128,534.0096,1.9,19.4444,,,0,0,0,2016-12-28T00:42:08Z,14,0.3063,1.1317
17.5418,17.5482,78.9852,0.0742,71,128,534.0096,1.6,19.4444,,,0,0,0,2016-12-28T00:42:09Z,15,0.3063,1.1317
17.8637,22.4477,93.704,0.0791,71,128,534.3144,1.5,19.4444,,,0,0,0,2016-12-28T00:42:10Z,16,0.3063,1.1317
17.8637,21.8157,88.1336,0.0841,72,128,534.3144,0.9,19.4444,,,0,0,0,2016-12-28T00:42:11Z,17,0.3063,1.1317
18.1856,23.0633,93.5812,0.0891,72,128,534.6192,0.6,19.4444,,,0,0,0,2016-12-28T00:42:12Z,18,0.3063,1.1317
18.3465,23.6624,152.9674,0.0942,75,128,534.6192,1.2,19.4444,,,0,0,0,2016-12-28T00:42:13Z,19,0.3063,1.1317
18.8293,23.0637,143.3745,0.0995,75,129,534.6192,1.2,19.4444,,,0,0,0,2016-12-28T00:42:14Z,20,0.3063,1.1317
18.8293,22.4486,156.87,0.1047,75,129,534.924,1.8,19.4444,,,0,0,0,2016-12-28T00:42:15Z,21,0.3063,1.1317
18.9903,23.6629,111.4566,0.11,76,129,534.924,1.9,19.4444,,,0,0,0,2016-12-28T00:42:16Z,22,0.3063,1.1317
19.3121,23.6629,137.182,0.1153,76,129,534.924,1.8,19.4444,,,0,0,0,2016-12-28T00:42:17Z,23,0.3063,1.1317
19.3121,23.6633,121.2912,0.1207,77,129,535.2288,1.8,19.4444,,,0,0,0,2016-12-28T00:42:18Z,24,0.3063,1.1316
19.1512,23.0641,145.8254,0.126,77,130,535.2288,1.7,19.4444,,,0,0,0,2016-12-28T00:42:19Z,25,0.3063,1.1316
19.4731,23.0645,120.2355,0.1314,78,130,535.2288,1.7,19.4444,,,0,0,0,2016-12-28T00:42:20Z,26,0.3063,1.1316
19.4731,21.1454,90.0013,0.1368,77,131,535.2288,1.7,18.8889,,,0,0,0,2016-12-28T00:42:21Z,27,0.3063,1.1337
19.3121,19.0602,114.8911,0.1422,77,131,535.2288,1.8,18.8889,,,0,0,0,2016-12-28T00:42:22Z,28,0.3063,1.1337
18.9903,21.7965,124.9436,0.1475,75,131,535.2288,1.9,18.8889,,,0,0,0,2016-12-28T00:42:23Z,29,0.3063,1.1337
18.8293,21.7965,127.7581,0.1527,75,131,535.2288,2.3,18.8889,,,0,0,0,2016-12-28T00:42:24Z,30,0.3063,1.1337
18.9903,21.7965,144.4761,0.158,76,131,534.924,2.4,18.8889,,,0,0,0,2016-12-28T00:42:25Z,31,0.3063,1.1337
19.1512,23.0435,126.1273,0.1633,77,132,534.924,2.3,18.8889,,,0,0,0,2016-12-28T00:42:26Z,32,0.3063,1.1336
19.3121,21.7969,166.7884,0.1687,78,132,534.924,2.2,18.8889,,,0,0,0,2016-12-28T00:42:27Z,33,0.3063,1.1336
19.7949,23.0435,187.3754,0.1742,81,132,534.924,1.9,18.8889,,,0,0,0,2016-12-28T00:42:28Z,34,0.3063,1.1336
20.5996,23.0435,122.9537,0.1799,83,133,534.6192,1.3,18.8889,,,0,0,0,2016-12-28T00:42:29Z,35,0.3063,1.1336
21.2433,23.6421,120.3103,0.1858,88,133,534.6192,0.8,18.8889,,,0,0,0,2016-12-28T00:42:30Z,36,0.3063,1.1336
22.3699,26.9561,154.7386,0.192,91,133,534.6192,-0.2,18.8889,,,0,0,0,2016-12-28T00:42:31Z,37,0.3063,1.1336
23.3355,28.9555,137.7206,0.1985,96,133,534.6192,-1.2,18.8889,,,0,0,0,2016-12-28T00:42:32Z,38,0.3063,1.1336
