iBike,13,metric
2017,1,15,11,13,2
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,184.000000,0.711703,12.102514,1.000000,0.000000,69.189600,2096.0,14.85,1013.25,-8,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",0:27:43,11.81,177.3,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
28.9682,14.0514,146.9642,0.008,0.001,138,503.2248,1.2,22.7778,1,,0,0,0,2017-01-15T04:43:02Z,0,0.3446,1.1233
28.9682,17.614,0,0.0161,0.001,137,503.2248,0.4,22.7778,,,0,0,0,2017-01-15T04:43:03Z,1,0.3829,1.1233
0,27.08,0,0.0161,0.001,0,503.2248,0,22.7778,,,0,0,0,2017-01-15T04:43:04Z,2,0.3446,1.1233
29.6119,31.8655,238.6083,0.0243,80,134,503.2248,1.2,22.7778,,,0,0,0,2017-01-15T04:43:08Z,3,0.3063,1.1233
29.6119,30.5089,166,0.0325,80,135,503.2248,0.8,22.7778,,,0,0,0,2017-01-15T04:43:09Z,4,0.3063,1.1233
29.7729,27.0805,148,0.0408,80,135,503.2248,0.4,22.7778,,,0,0,0,2017-01-15T04:43:10Z,5,0.3063,1.1233
29.6119,27.5963,100,0.049,80,136,503.2248,0.1,22.7778,,,0,0,0,2017-01-15T04:43:11Z,6,0.3063,1.1233
29.7729,28.1027,116,0.0573,80,136,502.92,-0.1,22.7778,,,0,0,0,2017-01-15T04:43:12Z,7,0.3063,1.1233
29.7729,25.4703,154,0.0656,80,137,502.92,0,22.7778,,,0,0,0,2017-01-15T04:43:13Z,8,0.3063,1.1233
29.451,26.5546,105,0.0738,79,138,503.2248,0.3,22.7778,,,0,0,0,2017-01-15T04:43:14Z,9,0.3063,1.1233
29.2901,27.5963,108,0.0819,79,138,503.2248,0,22.7778,,,0,0,0,2017-01-15T04:43:15Z,10,0.3063,1.1233
29.6119,30.0431,101,0.0901,80,138,503.5296,-0.1,22.7778,,,0,0,0,2017-01-15T04:43:16Z,11,0.3063,1.1233
